contract_id,contract_type,contract_text,cleaned_text
C0039,Lease Agreement,"This Lease Agreement is executed on 1999-12-01 between Nelson-Perez (landlord) and Sanders-Keller (tenant). The lease covers property located at 70931 Victoria Motorway Apt. 214 South Jamesstad, CA 15719 for 3 years.","this lease agreement is executed on 1999-12-01 between nelson-perez (landlord) and sanders-keller (tenant). the lease covers property located at 70931 victoria motorway apt. 214 south jamesstad, ca 15719 for 3 years."
C0040,Lease Agreement,"This Lease Agreement is executed on 1991-03-20 between Moore, Knight and Rodriguez (landlord) and Hubbard, Deleon and Smith (tenant). The lease covers property located at 85565 Shaw Port Suite 097 Hawkinsburgh, FL 79130 for 3 years.","this lease agreement is executed on 1991-03-20 between moore, knight and rodriguez (landlord) and hubbard, deleon and smith (tenant). the lease covers property located at 85565 shaw port suite 097 hawkinsburgh, fl 79130 for 3 years."
C0041,Consulting Agreement,"This Consulting Agreement is signed on 1980-09-13 by Hall-Zamora and Myers-Mays. The consultant shall provide services related to architect holistic markets, billed at $490/hour.","this consulting agreement is signed on 1980-09-13 by hall-zamora and myers-mays. the consultant shall provide services related to architect holistic markets, billed at 490/hour."
C0042,Service Level Agreement,This Service Level Agreement (SLA) is signed on 1979-02-07 between Jensen PLC and Brown LLC. The provider guarantees 95% uptime. Incidents must be resolved within 4 hours.,this service level agreement (sla) is signed on 1979-02-07 between jensen plc and brown llc. the provider guarantees 95 uptime. incidents must be resolved within 4 hours.
C0043,Employment Agreement,"This Employment Agreement is entered into by Brown, Brown and Lee and Robinson and Sons on 2012-10-25. The employee will assume the role of Teaching laboratory technician, with an annual salary of $64051.","this employment agreement is entered into by brown, brown and lee and robinson and sons on 2012-10-25. the employee will assume the role of teaching laboratory technician, with an annual salary of 64051."
C0044,Franchise Agreement,"This Franchise Agreement is entered into on 1996-10-18 between Jackson, Lopez and Richard (franchisor) and Jones-Molina (franchisee). The franchisee is granted rights to operate under the Santiago-Arias brand.","this franchise agreement is entered into on 1996-10-18 between jackson, lopez and richard (franchisor) and jones-molina (franchisee). the franchisee is granted rights to operate under the santiago-arias brand."
C0045,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2002-01-30 between Alvarez, Estrada and Harris and Schroeder Group. The provider guarantees 99% uptime. Incidents must be resolved within 2 hours.","this service level agreement (sla) is signed on 2002-01-30 between alvarez, estrada and harris and schroeder group. the provider guarantees 99 uptime. incidents must be resolved within 2 hours."
C0046,Employment Agreement,"This Employment Agreement is entered into by Williams, Palmer and Wilson and Morales-Walton on 1980-08-13. The employee will assume the role of Insurance broker, with an annual salary of $136254.","this employment agreement is entered into by williams, palmer and wilson and morales-walton on 1980-08-13. the employee will assume the role of insurance broker, with an annual salary of 136254."
C0047,Vendor Agreement,This Vendor Agreement is made on 1983-08-10 between Williams PLC and Johnson-Hicks. The vendor agrees to supply never with payment terms of net 15 days.,this vendor agreement is made on 1983-08-10 between williams plc and johnson-hicks. the vendor agrees to supply never with payment terms of net 15 days.
C0048,Vendor Agreement,"This Vendor Agreement is made on 1981-05-25 between Allen-Anderson and Hunt, Randolph and Rios. The vendor agrees to supply back with payment terms of net 30 days.","this vendor agreement is made on 1981-05-25 between allen-anderson and hunt, randolph and rios. the vendor agrees to supply back with payment terms of net 30 days."
C0049,License Agreement,This License Agreement is made on 1983-11-26 between Jones-Harris and Vasquez-Morales. The licensor grants the licensee rights to use then under conditions specified herein.,this license agreement is made on 1983-11-26 between jones-harris and vasquez-morales. the licensor grants the licensee rights to use then under conditions specified herein.
C0050,Employment Agreement,"This Employment Agreement is entered into by Li, Reyes and Jones and Freeman-Hall on 1991-10-16. The employee will assume the role of Television camera operator, with an annual salary of $145828.","this employment agreement is entered into by li, reyes and jones and freeman-hall on 1991-10-16. the employee will assume the role of television camera operator, with an annual salary of 145828."
C0051,Loan Agreement,This Loan Agreement is signed on 2016-08-30 between Matthews LLC (lender) and Graham-Flores (borrower). The lender agrees to provide a loan of $78265 at 3% interest.,this loan agreement is signed on 2016-08-30 between matthews llc (lender) and graham-flores (borrower). the lender agrees to provide a loan of 78265 at 3 interest.
C0052,Vendor Agreement,"This Vendor Agreement is made on 1987-07-22 between Moyer, Noble and Park and Mason, Garcia and Freeman. The vendor agrees to supply late with payment terms of net 45 days.","this vendor agreement is made on 1987-07-22 between moyer, noble and park and mason, garcia and freeman. the vendor agrees to supply late with payment terms of net 45 days."
C0053,Partnership Agreement,"This Partnership Agreement is executed on 2007-05-22 between Reyes, Merritt and Davis and Gill-Robles. Both partners will invest $443932. Profits and losses will be shared equally.","this partnership agreement is executed on 2007-05-22 between reyes, merritt and davis and gill-robles. both partners will invest 443932. profits and losses will be shared equally."
C0054,Loan Agreement,"This Loan Agreement is signed on 2009-06-19 between Roman, Flores and Nolan (lender) and Stone, Bailey and Beck (borrower). The lender agrees to provide a loan of $266204 at 10% interest.","this loan agreement is signed on 2009-06-19 between roman, flores and nolan (lender) and stone, bailey and beck (borrower). the lender agrees to provide a loan of 266204 at 10 interest."
C0055,Consulting Agreement,"This Consulting Agreement is signed on 1984-06-16 by Sanchez Ltd and Weiss, Singh and Robbins. The consultant shall provide services related to expedite killer systems, billed at $282/hour.","this consulting agreement is signed on 1984-06-16 by sanchez ltd and weiss, singh and robbins. the consultant shall provide services related to expedite killer systems, billed at 282/hour."
C0056,Partnership Agreement,This Partnership Agreement is executed on 1995-05-18 between Cantu-Bell and Clark and Sons. Both partners will invest $183773. Profits and losses will be shared equally.,this partnership agreement is executed on 1995-05-18 between cantu-bell and clark and sons. both partners will invest 183773. profits and losses will be shared equally.
C0057,Partnership Agreement,"This Partnership Agreement is executed on 1998-10-19 between Sims-Fitzpatrick and Peterson, Rodriguez and Lee. Both partners will invest $152306. Profits and losses will be shared equally.","this partnership agreement is executed on 1998-10-19 between sims-fitzpatrick and peterson, rodriguez and lee. both partners will invest 152306. profits and losses will be shared equally."
C0058,Loan Agreement,This Loan Agreement is signed on 1970-04-13 between Duffy and Sons (lender) and Mcdaniel-Glenn (borrower). The lender agrees to provide a loan of $150003 at 6% interest.,this loan agreement is signed on 1970-04-13 between duffy and sons (lender) and mcdaniel-glenn (borrower). the lender agrees to provide a loan of 150003 at 6 interest.
C0059,Loan Agreement,"This Loan Agreement is signed on 1994-03-11 between Parker PLC (lender) and Sharp, Flores and Jenkins (borrower). The lender agrees to provide a loan of $63354 at 4% interest.","this loan agreement is signed on 1994-03-11 between parker plc (lender) and sharp, flores and jenkins (borrower). the lender agrees to provide a loan of 63354 at 4 interest."
C0060,Franchise Agreement,"This Franchise Agreement is entered into on 1983-02-12 between Mcclure-Weeks (franchisor) and Collins, Walker and Perez (franchisee). The franchisee is granted rights to operate under the May, Lynn and Garcia brand.","this franchise agreement is entered into on 1983-02-12 between mcclure-weeks (franchisor) and collins, walker and perez (franchisee). the franchisee is granted rights to operate under the may, lynn and garcia brand."
C0061,Employment Agreement,"This Employment Agreement is entered into by Rogers-Johnson and Guerra-Cruz on 2013-04-04. The employee will assume the role of Scientist, physiological, with an annual salary of $93158.","this employment agreement is entered into by rogers-johnson and guerra-cruz on 2013-04-04. the employee will assume the role of scientist, physiological, with an annual salary of 93158."
C0062,Lease Agreement,"This Lease Agreement is executed on 2014-06-24 between Green, Keller and Thornton (landlord) and White, Bennett and Clark (tenant). The lease covers property located at Unit 0758 Box 0963 DPO AA 50228 for 1 years.","this lease agreement is executed on 2014-06-24 between green, keller and thornton (landlord) and white, bennett and clark (tenant). the lease covers property located at unit 0758 box 0963 dpo aa 50228 for 1 years."
C0063,Partnership Agreement,This Partnership Agreement is executed on 2022-02-09 between Mendoza-Becker and Mcgee LLC. Both partners will invest $450361. Profits and losses will be shared equally.,this partnership agreement is executed on 2022-02-09 between mendoza-becker and mcgee llc. both partners will invest 450361. profits and losses will be shared equally.
C0064,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 2015-08-08 between Harrison, Savage and Waters and Miller, Salazar and Johnson. The provider guarantees 99.9% uptime. Incidents must be resolved within 12 hours.","this service level agreement (sla) is signed on 2015-08-08 between harrison, savage and waters and miller, salazar and johnson. the provider guarantees 99.9 uptime. incidents must be resolved within 12 hours."
C0065,License Agreement,"This License Agreement is made on 1972-09-18 between Ewing and Sons and Quinn, Clark and Edwards. The licensor grants the licensee rights to use close under conditions specified herein.","this license agreement is made on 1972-09-18 between ewing and sons and quinn, clark and edwards. the licensor grants the licensee rights to use close under conditions specified herein."
C0066,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Gardner and Sons and Foley, Robinson and Simpson on 2001-01-07. Both parties agree to protect confidential information including optimize 24/7 communities. The obligations shall survive for 5 years.","this non-disclosure agreement (nda) is made between gardner and sons and foley, robinson and simpson on 2001-01-07. both parties agree to protect confidential information including optimize 24/7 communities. the obligations shall survive for 5 years."
C0067,License Agreement,This License Agreement is made on 2000-02-22 between Ashley Inc and Russell-Oliver. The licensor grants the licensee rights to use quite under conditions specified herein.,this license agreement is made on 2000-02-22 between ashley inc and russell-oliver. the licensor grants the licensee rights to use quite under conditions specified herein.
C0068,Franchise Agreement,"This Franchise Agreement is entered into on 2010-05-12 between Thomas, Knight and Jackson (franchisor) and Holloway-Sparks (franchisee). The franchisee is granted rights to operate under the Davis-Hanna brand.","this franchise agreement is entered into on 2010-05-12 between thomas, knight and jackson (franchisor) and holloway-sparks (franchisee). the franchisee is granted rights to operate under the davis-hanna brand."
C0069,Franchise Agreement,"This Franchise Agreement is entered into on 1987-08-25 between Whitehead-Mendez (franchisor) and Smith-Wilson (franchisee). The franchisee is granted rights to operate under the Moss, Moody and Peterson brand.","this franchise agreement is entered into on 1987-08-25 between whitehead-mendez (franchisor) and smith-wilson (franchisee). the franchisee is granted rights to operate under the moss, moody and peterson brand."
C0070,Loan Agreement,"This Loan Agreement is signed on 2003-03-16 between Price, Rodriguez and Webb (lender) and Horton LLC (borrower). The lender agrees to provide a loan of $70843 at 11% interest.","this loan agreement is signed on 2003-03-16 between price, rodriguez and webb (lender) and horton llc (borrower). the lender agrees to provide a loan of 70843 at 11 interest."
C0071,Service Level Agreement,This Service Level Agreement (SLA) is signed on 1984-05-31 between Leonard and Sons and Gonzalez-Bishop. The provider guarantees 95% uptime. Incidents must be resolved within 12 hours.,this service level agreement (sla) is signed on 1984-05-31 between leonard and sons and gonzalez-bishop. the provider guarantees 95 uptime. incidents must be resolved within 12 hours.
C0072,Service Level Agreement,"This Service Level Agreement (SLA) is signed on 1970-08-08 between Vasquez-Allen and Barnes, Stephens and Sanchez. The provider guarantees 99.9% uptime. Incidents must be resolved within 12 hours.","this service level agreement (sla) is signed on 1970-08-08 between vasquez-allen and barnes, stephens and sanchez. the provider guarantees 99.9 uptime. incidents must be resolved within 12 hours."
C0073,Lease Agreement,"This Lease Agreement is executed on 2018-12-25 between Mitchell-Guzman (landlord) and Turner and Sons (tenant). The lease covers property located at 46189 Ramirez Junctions Apt. 053 New Scottside, MT 34145 for 4 years.","this lease agreement is executed on 2018-12-25 between mitchell-guzman (landlord) and turner and sons (tenant). the lease covers property located at 46189 ramirez junctions apt. 053 new scottside, mt 34145 for 4 years."
C0074,License Agreement,This License Agreement is made on 1976-03-12 between Miller PLC and Humphrey-Herrera. The licensor grants the licensee rights to use seven under conditions specified herein.,this license agreement is made on 1976-03-12 between miller plc and humphrey-herrera. the licensor grants the licensee rights to use seven under conditions specified herein.
C0075,Employment Agreement,"This Employment Agreement is entered into by Chambers-Sanchez and Sparks, Gardner and Saunders on 1996-04-05. The employee will assume the role of Ergonomist, with an annual salary of $86866.","this employment agreement is entered into by chambers-sanchez and sparks, gardner and saunders on 1996-04-05. the employee will assume the role of ergonomist, with an annual salary of 86866."
C0076,Franchise Agreement,"This Franchise Agreement is entered into on 2017-06-25 between Rodriguez, Ray and Blake (franchisor) and Cooper, Williams and Schroeder (franchisee). The franchisee is granted rights to operate under the Stevenson, Moore and Ray brand.","this franchise agreement is entered into on 2017-06-25 between rodriguez, ray and blake (franchisor) and cooper, williams and schroeder (franchisee). the franchisee is granted rights to operate under the stevenson, moore and ray brand."
C0077,Loan Agreement,"This Loan Agreement is signed on 2011-04-05 between Gallagher-Webb (lender) and Floyd, Meyers and Mckay (borrower). The lender agrees to provide a loan of $331835 at 7% interest.","this loan agreement is signed on 2011-04-05 between gallagher-webb (lender) and floyd, meyers and mckay (borrower). the lender agrees to provide a loan of 331835 at 7 interest."
C0078,Non-Disclosure Agreement,"This Non-Disclosure Agreement (NDA) is made between Guzman, Johnson and Brown and Pena, Horton and Young on 2001-10-24. Both parties agree to protect confidential information including expedite virtual e-commerce. The obligations shall survive for 2 years.","this non-disclosure agreement (nda) is made between guzman, johnson and brown and pena, horton and young on 2001-10-24. both parties agree to protect confidential information including expedite virtual e-commerce. the obligations shall survive for 2 years."
C0079,License Agreement,This License Agreement is made on 2000-03-02 between Buck-Winters and Baxter and Sons. The licensor grants the licensee rights to use fight under conditions specified herein.,this license agreement is made on 2000-03-02 between buck-winters and baxter and sons. the licensor grants the licensee rights to use fight under conditions specified herein.
C0080,Vendor Agreement,"This Vendor Agreement is made on 2022-06-06 between Allen, Cox and Robertson and Meyer, Buchanan and Vance. The vendor agrees to supply week with payment terms of net 45 days.","this vendor agreement is made on 2022-06-06 between allen, cox and robertson and meyer, buchanan and vance. the vendor agrees to supply week with payment terms of net 45 days."
C0081,Franchise Agreement,"This Franchise Agreement is entered into on 1984-01-08 between Harris-Shaffer (franchisor) and Rogers Ltd (franchisee). The franchisee is granted rights to operate under the Baker, Preston and Payne brand.","this franchise agreement is entered into on 1984-01-08 between harris-shaffer (franchisor) and rogers ltd (franchisee). the franchisee is granted rights to operate under the baker, preston and payne brand."
C0082,Vendor Agreement,"This Vendor Agreement is made on 2012-11-29 between Gonzalez-Diaz and Mcgrath, Hall and Fields. The vendor agrees to supply build with payment terms of net 45 days.","this vendor agreement is made on 2012-11-29 between gonzalez-diaz and mcgrath, hall and fields. the vendor agrees to supply build with payment terms of net 45 days."
C0083,Lease Agreement,"This Lease Agreement is executed on 2013-02-26 between Richardson Ltd (landlord) and Howard LLC (tenant). The lease covers property located at 9243 Daniel Run Apt. 314 Lake Tanyaton, UT 76309 for 3 years.","this lease agreement is executed on 2013-02-26 between richardson ltd (landlord) and howard llc (tenant). the lease covers property located at 9243 daniel run apt. 314 lake tanyaton, ut 76309 for 3 years."
C0084,Franchise Agreement,"This Franchise Agreement is entered into on 1987-08-10 between Young, Brooks and Smith (franchisor) and Luna-Ramos (franchisee). The franchisee is granted rights to operate under the Lamb, Todd and Norris brand.","this franchise agreement is entered into on 1987-08-10 between young, brooks and smith (franchisor) and luna-ramos (franchisee). the franchisee is granted rights to operate under the lamb, todd and norris brand."
C0085,Consulting Agreement,"This Consulting Agreement is signed on 1999-04-03 by King LLC and Combs-Clarke. The consultant shall provide services related to brand interactive metrics, billed at $352/hour.","this consulting agreement is signed on 1999-04-03 by king llc and combs-clarke. the consultant shall provide services related to brand interactive metrics, billed at 352/hour."
C0086,Lease Agreement,"This Lease Agreement is executed on 2017-02-28 between Castaneda and Sons (landlord) and Barker, Johnson and Hayes (tenant). The lease covers property located at 7003 Jordan Neck Seanstad, IN 12165 for 2 years.","this lease agreement is executed on 2017-02-28 between castaneda and sons (landlord) and barker, johnson and hayes (tenant). the lease covers property located at 7003 jordan neck seanstad, in 12165 for 2 years."
C0087,Franchise Agreement,This Franchise Agreement is entered into on 1988-07-29 between Price Ltd (franchisor) and Terry-Berry (franchisee). The franchisee is granted rights to operate under the Taylor-Fields brand.,this franchise agreement is entered into on 1988-07-29 between price ltd (franchisor) and terry-berry (franchisee). the franchisee is granted rights to operate under the taylor-fields brand.
C0088,Partnership Agreement,"This Partnership Agreement is executed on 1984-11-10 between Williams-Pitts and Delacruz, Hull and Smith. Both partners will invest $100472. Profits and losses will be shared equally.","this partnership agreement is executed on 1984-11-10 between williams-pitts and delacruz, hull and smith. both partners will invest 100472. profits and losses will be shared equally."
C0089,Employment Agreement,"This Employment Agreement is entered into by Mcclain, Rogers and Taylor and Baker and Sons on 1997-02-18. The employee will assume the role of Cartographer, with an annual salary of $76408.","this employment agreement is entered into by mcclain, rogers and taylor and baker and sons on 1997-02-18. the employee will assume the role of cartographer, with an annual salary of 76408."
